,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
250,1,2022-06-01 00:36:15,2022-06-01 00:39:45,1,0.6,1,N,163,50,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5,0
251,2,2022-06-01 00:12:20,2022-06-01 00:40:25,1,11.21,1,N,113,243,1,33.5,0.5,0.5,7,0,0.3,44.3,2.5,0
252,2,2022-06-01 00:16:15,2022-06-01 00:21:27,1,0.78,1,N,249,158,1,5,0.5,0.5,2.64,0,0.3,11.44,2.5,0
253,2,2022-06-01 00:25:11,2022-06-01 00:36:25,1,2.16,1,N,158,45,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5,0
254,2,2022-06-01 00:45:13,2022-06-01 01:16:17,1,7.83,1,N,114,74,1,27.5,0.5,0.5,5,0,0.3,36.3,2.5,0
255,1,2022-06-01 00:19:53,2022-06-01 00:33:19,1,2.8,1,N,114,48,1,12,3,0.5,3.15,0,0.3,18.95,2.5,0
256,1,2022-06-01 00:56:32,2022-06-01 01:06:09,1,2.5,1,N,237,50,1,10,3,0.5,2.75,0,0.3,16.55,2.5,0
257,1,2022-06-01 00:07:01,2022-06-01 00:20:20,1,2.4,1,N,234,4,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0
258,1,2022-06-01 00:26:06,2022-06-01 00:33:39,1,2.4,1,N,148,256,2,9.5,3,0.5,0,0,0.3,13.3,2.5,0
259,2,2022-06-01 00:17:42,2022-06-01 00:40:23,1,6.69,1,N,249,74,1,21.5,0.5,0.5,5.06,0,0.3,30.36,2.5,0
260,1,2022-06-01 00:55:33,2022-06-01 01:10:06,1,9,1,N,70,216,1,25.5,0.5,0.5,5.35,0,0.3,32.15,0,0
261,2,2022-06-01 00:04:10,2022-06-01 00:14:28,1,1.38,1,N,230,162,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5,0
262,2,2022-06-01 00:22:20,2022-06-01 00:28:21,1,1.83,1,N,141,137,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,0
263,1,2022-06-01 00:23:05,2022-06-01 00:32:41,1,2.1,1,N,163,237,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5,0
264,2,2022-06-01 00:26:39,2022-06-01 00:41:26,1,4.1,1,N,88,97,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5,0
265,2,2022-06-01 00:44:17,2022-06-01 00:46:31,1,0.54,1,N,48,50,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5,0
266,2,2022-06-01 00:54:00,2022-06-01 01:02:21,1,1.98,1,N,143,100,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,0
267,1,2022-06-01 00:45:12,2022-06-01 00:49:11,1,0.2,1,N,48,230,4,4.5,3,0.5,0,0,0.3,8.3,2.5,0
268,2,2022-06-01 00:02:36,2022-06-01 00:09:07,1,1.3,1,N,113,107,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0
269,2,2022-06-01 00:27:26,2022-06-01 00:45:06,1,3.85,1,N,164,145,1,14.5,0.5,0.5,1.83,0,0.3,20.13,2.5,0
270,2,2022-06-01 00:00:40,2022-06-01 00:03:09,6,0.75,1,N,170,107,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,0
271,2,2022-06-01 00:14:34,2022-06-01 00:30:33,1,2.19,1,N,161,233,1,12,0.5,0.5,4.74,0,0.3,20.54,2.5,0
272,2,2022-06-01 00:36:04,2022-06-01 00:42:02,1,1.54,1,N,137,148,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5,0
273,2,2022-06-01 00:02:18,2022-06-01 00:27:03,1,8.25,1,N,239,88,1,27.5,0.5,0.5,6.26,0,0.3,37.56,2.5,0
274,2,2022-06-01 00:12:22,2022-06-01 00:24:08,2,2.42,1,N,164,148,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0
275,2,2022-06-01 00:37:50,2022-06-01 00:46:58,1,1.78,1,N,100,237,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5,0
276,2,2022-06-01 00:12:20,2022-06-01 00:15:23,1,1.14,1,N,237,237,1,5,0.5,0.5,2.2,0,0.3,11,2.5,0
277,2,2022-06-01 00:24:03,2022-06-01 00:44:30,1,6.46,1,N,237,231,1,20.5,0.5,0.5,4.86,0,0.3,29.16,2.5,0
